epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,7601.97,0.22368,0.51253,0.87,0.65238,0.70533,0.78122,0.71062,1.05392,3.05797,1.45776,6.9264e-05,6.9264e-05,6.9264e-05
42,7749.37,0.21252,0.46853,0.85756,0.6578,0.66325,0.75939,0.69397,1.03353,2.91877,1.41406,6.26706e-05,6.26706e-05,6.26706e-05
43,7858.16,0.21062,0.44167,0.85725,0.78806,0.59863,0.79496,0.72735,1.00737,2.94155,1.40278,5.60772e-05,5.60772e-05,5.60772e-05
44,7963.21,0.20539,0.43314,0.86638,0.81752,0.66494,0.79977,0.73512,1.03814,2.89947,1.44807,4.94838e-05,4.94838e-05,4.94838e-05
45,8075.14,0.19481,0.42445,0.84316,0.7041,0.76867,0.81899,0.7515,1.01955,2.816,1.44172,4.28904e-05,4.28904e-05,4.28904e-05
46,8260.53,0.19524,0.41472,0.84557,0.69289,0.78615,0.83277,0.76676,1.04432,2.78175,1.47796,3.6297e-05,3.6297e-05,3.6297e-05
47,8358.06,0.19433,0.40505,0.85467,0.70923,0.76936,0.8338,0.76066,1.03982,2.78076,1.48156,2.97036e-05,2.97036e-05,2.97036e-05
48,8454.54,0.1932,0.40043,0.85561,0.71919,0.7588,0.83749,0.77481,1.04706,2.77777,1.47391,2.31102e-05,2.31102e-05,2.31102e-05
49,8549.5,0.18533,0.3897,0.84454,0.73476,0.74478,0.82305,0.7576,1.00913,2.83774,1.43965,1.65168e-05,1.65168e-05,1.65168e-05
50,8645.97,0.19076,0.38309,0.85101,0.76734,0.74311,0.83575,0.77138,1.00789,2.84122,1.43604,9.9234e-06,9.9234e-06,9.9234e-06
